"","Code","Name","Municipality","Ownership","Applications","Vacancies"
"657","08025927","Escola Pi d'en Xandri","Sant Cugat del Vallès","Public",61,50
"658","08025988","Santa Isabel","Sant Cugat del Vallès","Charter",41,50
"659","08026026","Escola Pins del Vallès","Sant Cugat del Vallès","Public",49,50
"660","08026038","Pureza de María","Sant Cugat del Vallès","Charter",54,75
"661","08026041","Viaró","Sant Cugat del Vallès","Charter",25,50
"662","08026075","El Pinar de Nuestra Señora","Sant Cugat del Vallès","Charter",36,75
"663","08026087","Escola Jaume Ferran i Clua","Sant Cugat del Vallès","Public",37,50
"920","08034692","Escola Catalunya","Sant Cugat del Vallès","Public",54,50
"979","08037747","Avenç","Sant Cugat del Vallès","Charter",103,75
"1007","08038260","Escola Joan Maragall","Sant Cugat del Vallès","Public",45,50
"1068","08041234","Escola Collserola","Sant Cugat del Vallès","Public",69,75
"1203","08055877","Thau","Sant Cugat del Vallès","Charter",78,75
"1236","08059871","Escola Gerbert d'Orlhac","Sant Cugat del Vallès","Public",47,50
"1268","08061178","Escola Turó de Can Mates","Sant Cugat del Vallès","Public",69,75
"1281","08062641","Escola L'Olivera","Sant Cugat del Vallès","Public",56,50
"1319","08064118","Escola Ciutat d'Alba","Sant Cugat del Vallès","Public",58,50
"1407","08075268","Escola La Mirada","Sant Cugat del Vallès","Public",36,50
"664","08026099","Escola Les Vinyes","Sant Cugat Sesgarrigues","Public",17,14
"665","08026117","Escola Vallmanya","Sant Esteve de Palautordera","Public",39,38
"666","08026130","Escola La Roureda","Sant Esteve Sesrovires","Public",19,25
"1234","08059810","Escola Vinya del Sastret","Sant Esteve Sesrovires","Public",20,25
"1642","17008894","Escola Alzines Balladores","Sant Feliu de Buixalleu","Public",8,25
"668","08026181","FEDAC-Sant Feliu","Sant Feliu de Codines","Charter",22,25
"669","08026208","Escola Jaume Balmes","Sant Feliu de Codines","Public",26,50
"1550","17003264","Escola Gaziel","Sant Feliu de Guíxols","Public",38,38
"1551","17003288","Cor de Maria - Sant Josep","Sant Feliu de Guíxols","Charter",23,50
"1552","17003321","Escola Mossèn Baldiri Reixach","Sant Feliu de Guíxols","Public",20,38
"1591","17004682","Escola L'Estació","Sant Feliu de Guíxols","Public",46,38
"1618","17008018","Escola Ardenya","Sant Feliu de Guíxols","Public",41,38
"644","08026385","Escola Arquitecte Gaudí","Sant Feliu de Llobregat","Public",15,25
"670","08026211","Escola Nadal","Sant Feliu de Llobregat","Public",46,50
"671","08026221","Escola Falguera","Sant Feliu de Llobregat","Public",18,25
"672","08026245","Virgen de la Salud","Sant Feliu de Llobregat","Charter",48,50
"673","08026269","Bon Salvador","Sant Feliu de Llobregat","Charter",68,75
"674","08026282","Mestral","Sant Feliu de Llobregat","Charter",26,25
"675","08026294","Mare de Déu de la Mercè","Sant Feliu de Llobregat","Charter",59,50
"676","08026373","Escola Josep Monmany Amat","Sant Feliu de Llobregat","Public",20,25
"958","08035994","Escola Salvador Espriu","Sant Feliu de Llobregat","Public",54,50
"959","08036007","Escola Pau Vila","Sant Feliu de Llobregat","Public",31,25
"1296","08063394","Escola Miquel Martí i Pol","Sant Feliu de Llobregat","Public",44,50
"1553","17003343","Escola Rocalba","Sant Feliu de Pallerols","Public",6,10
"667","08026154","Escola Joaquim Abril","Sant Fost de Campsentelles","Public",27,50
"1233","08059809","Escola El Roure","Sant Fost de Campsentelles","Public",29,25
"677","08026427","Paidos","Sant Fruitós de Bages","Charter",49,50
"678","08026464","Escola Monsenyor Gibert","Sant Fruitós de Bages","Public",40,50
"1139","08044016","Escola Flama","Sant Fruitós de Bages","Public",40,50
"1339","08065251","Escola Pla del Puig","Sant Fruitós de Bages","Public",21,25
"1554","17003392","Escola Agustí Gifre","Sant Gregori","Public",57,75
"1728","25004036","Escola L'Estel","Sant Guim de Freixenet","Public",7,25
"1556","17003434","Escola Guilleries","Sant Hilari Sacalm","Public",41,50
"1605","17006642","Les Cent Fonts","Sant Hilari Sacalm","Charter",25,24
"682","08026521","Escola Abat Oliba","Sant Hipòlit de Voltregà","Public",12,25
"628","08025071","Escola Dones d'Aigua","Sant Iscle de Vallalta","Public",9,25
"1880","43004189","Escola Sant Jaume","Sant Jaume d'Enveja","Public",22,25
"1926","43005583","Escola Els Quatre Vents","Sant Jaume dels Domenys","Public",24,25
"1653","17009813","Institut Escola Mestre Andreu","Sant Joan de les Abadesses","Public",12,25
"689","08026725","Escola Joncadella","Sant Joan de Vilatorrada","Public",25,50
"1151","08044545","Escola Collbaix","Sant Joan de Vilatorrada","Public",24,25
"1287","08062778","Escola Ametllers","Sant Joan de Vilatorrada","Public",60,50
"684","08026567","Escola Sant Francesc d'Assís","Sant Joan Despí","Public",29,50
"685","08026622","Ateneu Instructiu","Sant Joan Despí","Charter",38,50
"686","08026658","Gran Capità","Sant Joan Despí","Charter",19,25
"687","08026661","Escola Pau Casals","Sant Joan Despí","Public",51,50
"688","08026671","Escola Joan Perich i Valls","Sant Joan Despí","Public",22,25
"1080","08041684","Escola Espai 3","Sant Joan Despí","Public",69,50
"1388","08071147","Escola Roser Capdevila","Sant Joan Despí","Public",22,22
"1564","17003732","Escola Castanyer","Sant Joan les Fonts","Public",29,50
"1557","17003471","Escola Sant Jordi","Sant Jordi Desvalls","Public",8,8
"1502","17002193","Escola Santa Fe","Sant Julià de Ramis","Public",7,9
"1611","17006873","Escola Castellum","Sant Julià de Ramis","Public",43,31
"692","08026786","Escola Bellpuig","Sant Julià de Vilatorta","Public",21,25
"693","08026798","El Roser","Sant Julià de Vilatorta","Charter",7,25
"1424","17000123","Escola Sant Jordi","Sant Julià del Llor i Bonmatí","Public",13,25
"694","08026816","Escola Montserrat","Sant Just Desvern","Public",57,50
"695","08026841","Madre Sacramento","Sant Just Desvern","Charter",21,25
"876","08032580","Escola Canigó","Sant Just Desvern","Public",38,50
"1070","08041556","Escola Montseny","Sant Just Desvern","Public",23,25
"696","08026889","Escola Vinyes Verdes","Sant Llorenç d'Hortons","Public",9,9
"697","08026907","Escola Pau Casals","Sant Llorenç d'Hortons","Public",18,25
"1729","25004048","Escola Vall de Lord","Sant Llorenç de Morunys","Public",6,25
"698","08026919","Escola Josep Gras","Sant Llorenç Savall","Public",17,25
"1331","08064829","Escola Valldeneu","Sant Martí de Centelles","Public",7,11
"699","08026956","Escola Cérvola Blanca","Sant Martí de Tous","Public",8,25
"700","08027018","Escola Jaume Balmes","Sant Martí Sarroca","Public",31,50
"1558","17003598","Escola Vallgarriga","Sant Miquel de Fluvià","Public",6,7
"701","08027110","Escola El Pi","Sant Pere de Ribes","Public",12,25
"702","08027134","Escola Les Roquetes","Sant Pere de Ribes","Public",31,50
"914","08034448","Escola Santa Eulàlia","Sant Pere de Ribes","Public",33,50
"1217","08058362","Escola Riera de Ribes","Sant Pere de Ribes","Public",55,50
"1223","08058957","Escola Els Costerets","Sant Pere de Ribes","Public",36,50
"1259","08061002","Escola Les Parellades","Sant Pere de Ribes","Public",32,25
"1288","08062781","Escola Mediterrània","Sant Pere de Ribes","Public",58,50
"703","08027146","Escola Sant Jeroni","Sant Pere de Riudebitlles","Public",22,25
"704","08027171","Escola Josep Maria Xandri","Sant Pere de Torelló","Public",16,25
"705","08027183","Escola Torre Roja","Sant Pere de Vilamajor","Public",35,50
"1559","17003628","Escola Llagut","Sant Pere Pescador","Public",25,50
"706","08027225","Escola Sant Pau","Sant Pol de Mar","Public",41,50
"707","08027237","Escola Antoni Grau Minguell","Sant Quintí de Mediona","Public",18,25
"708","08027249","Escola Segimon Comas","Sant Quirze de Besora","Public",24,25
"888","08033407","Escola Purificació Salas i Xandri","Sant Quirze del Vallès","Public",16,25
"1148","08044454","Escola Pilarín Bayés","Sant Quirze del Vallès","Public",43,50
"1154","08044910","Escola El Turonet","Sant Quirze del Vallès","Public",25,25
"1199","08054836","Escola Onze de Setembre","Sant Quirze del Vallès","Public",31,25
"1241","08060484","Escola Taula Rodona","Sant Quirze del Vallès","Public",50,50
"1363","08067201","Escola Lola Anglada","Sant Quirze del Vallès","Public",36,50
"709","08027331","Sant Josep","Sant Sadurní d'Anoia","Charter",47,50
"710","08027353","Vedruna-El Carme","Sant Sadurní d'Anoia","Charter",27,25
"1238","08059998","Escola La Pau","Sant Sadurní d'Anoia","Public",34,50
"1392","08071238","Institut Escola Jacint Verdaguer","Sant Sadurní d'Anoia","Public",58,50
"385","08017992","Escola Montserrat","Sant Salvador de Guardiola","Public",38,50
"744","08028552","FEDAC-Sant Vicenç","Sant Vicenç de Castellet","Charter",25,25
"745","08028576","Escola Sant Vicenç","Sant Vicenç de Castellet","Public",31,50
"1340","08065263","Escola Puigsoler","Sant Vicenç de Castellet","Public",25,25
"877","08032592","Escola Sant Jordi","Sant Vicenç de Montalt","Public",16,25
"1264","08061105","Escola Sot del Camp","Sant Vicenç de Montalt","Public",27,25
"751","08028709","Escola Lloriana","Sant Vicenç de Torelló","Public",25,25
"746","08028588","Escola Sant Jordi","Sant Vicenç dels Horts","Public",26,25
"747","08028591","Escola La Vinyala","Sant Vicenç dels Horts","Public",23,25
"748","08028631","Sant Vicenç","Sant Vicenç dels Horts","Charter",65,50
"749","08028655","La Inmaculada","Sant Vicenç dels Horts","Charter",17,25
"750","08028667","Escola Joan Juncadella","Sant Vicenç dels Horts","Public",45,50
"936","08035350","Escola Sant Josep","Sant Vicenç dels Horts","Public",36,50
"1009","08038284","Escola La Guàrdia","Sant Vicenç dels Horts","Public",11,25
"1062","08041131","Escola Sant Antoni","Sant Vicenç dels Horts","Public",28,25
"1844","43003008","Escola Jaume Balmes","Santa Bàrbara","Public",31,50
"1121","08043760","Escola Colònia Güell","Santa Coloma de Cervelló","Public",53,50
"1304","08063771","Escola Pla de les Vinyes","Santa Coloma de Cervelló","Public",30,50
"1560","17003641","Escola Sant Salvador d'Horta","Santa Coloma de Farners","Public",52,50
"1561","17003653","La Salle","Santa Coloma de Farners","Charter",50,50
"1621","17008249","Escola Castell de Farners","Santa Coloma de Farners","Public",36,50
"711","08027432","Escola Wagner","Santa Coloma de Gramenet","Public",20,22
"712","08027456","Escola Ferran de Sagarra","Santa Coloma de Gramenet","Public",51,50
"713","08027468","Escola Pallaresa","Santa Coloma de Gramenet","Public",30,50
"714","08027471","Escola Sant Just","Santa Coloma de Gramenet","Public",55,50
"715","08027511","Escola Torre Balldovina","Santa Coloma de Gramenet","Public",32,50
"716","08027559","Singuerlín","Santa Coloma de Gramenet","Charter",29,25
"717","08027560","Verge de les Neus","Santa Coloma de Gramenet","Charter",55,50
"718","08027602","Seimar","Santa Coloma de Gramenet","Charter",13,25
"719","08027729","FEDAC - Santa Coloma","Santa Coloma de Gramenet","Charter",69,50
"720","08027730","Fuster","Santa Coloma de Gramenet","Charter",26,25
"721","08027754","Virgen del Carmen","Santa Coloma de Gramenet","Charter",21,25
"722","08027766","Manent Rambla","Santa Coloma de Gramenet","Charter",15,25
"723","08027870","Escola Les Palmeres","Santa Coloma de Gramenet","Public",44,50
"724","08027936","Escola Lluís Millet","Santa Coloma de Gramenet","Public",22,25
"725","08027973","Escola Beethoven","Santa Coloma de Gramenet","Public",21,22
"726","08027985","Escola Jaume Salvatella","Santa Coloma de Gramenet","Public",41,50
"727","08028035","Escola Ausiàs March","Santa Coloma de Gramenet","Public",25,25
"867","08032300","Escola Fray Luis de León","Santa Coloma de Gramenet","Public",47,50
"868","08032312","Escola Miguel de Unamuno","Santa Coloma de Gramenet","Public",26,44
"887","08033341","Escola Banús","Santa Coloma de Gramenet","Public",42,25
"897","08033997","Escola Primavera","Santa Coloma de Gramenet","Public",19,25
"947","08035519","Escola Antoni Gaudí","Santa Coloma de Gramenet","Public",23,44
"962","08036101","Escola Sagrada Família","Santa Coloma de Gramenet","Public",39,50
"1052","08040059","Escola Joan Salvat i Papasseit","Santa Coloma de Gramenet","Public",37,50
"1058","08040382","Escola Mercè Rodoreda","Santa Coloma de Gramenet","Public",31,44
"1065","08041180","Escola Rosselló Pòrcel","Santa Coloma de Gramenet","Public",20,25
"1159","08045574","Escola Serra de Marina","Santa Coloma de Gramenet","Public",44,50
"1229","08059767","Escola Tanit","Santa Coloma de Gramenet","Public",22,22
"1380","08069751","Escola Santa Coloma","Santa Coloma de Gramenet","Public",29,25
"1382","08070143","Escola Riera Alta","Santa Coloma de Gramenet","Public",50,50
"1845","43003011","Escola Cor de Roure","Santa Coloma de Queralt","Public",13,25
"1846","43003021","Vedruna Mare de Déu del Carme","Santa Coloma de Queralt","Charter",11,25
"1562","17003689","Escola Pedralta","Santa Cristina d'Aro","Public",27,50
"728","08028059","Escola Jacint Verdaguer","Santa Eugènia de Berga","Public",21,25
"729","08028072","Escola El Roure Gros","Santa Eulàlia de Riuprimer","Public",8,15
"730","08028102","Escola Ronçana","Santa Eulàlia de Ronçana","Public",16,25
"1338","08065238","Escola La Sagrera","Santa Eulàlia de Ronçana","Public",38,50
"731","08028163","Escola Montbou","Santa Margarida de Montbui","Public",12,13
"1008","08038272","Escola García Lorca","Santa Margarida de Montbui","Public",31,50
"1216","08057734","Escola Antoni Gaudí","Santa Margarida de Montbui","Public",34,44
"732","08028217","Escola Doctor Samaranch i Fina","Santa Margarida i els Monjos","Public",38,50
"977","08037528","Escola Sant Domènec","Santa Margarida i els Monjos","Public",16,25
"1309","08063886","Escola Arrels","Santa Margarida i els Monjos","Public",32,25
"737","08028382","Escola Sesmon d'Oló","Santa Maria d'Oló","Public",8,13
"736","08028345","Escola Les Mimoses","Santa Maria de Martorelles","Public",9,14
"738","08028424","Escola Fontmartina","Santa Maria de Palautordera","Public",35,50
"1289","08062811","Escola Matagalls","Santa Maria de Palautordera","Public",19,25
"1386","08070908","Institut Escola La Tordera","Santa Maria de Palautordera","Public",39,50
"1927","43005595","Escola La Parellada","Santa Oliva","Public",31,44
"1563","17003719","Escola Joan Maragall","Santa Pau","Public",11,15
"739","08028436","Escola La Florida","Santa Perpètua de Mogoda","Public",50,50
"740","08028473","Tabor","Santa Perpètua de Mogoda","Charter",25,25
"741","08028485","Sagrada Família","Santa Perpètua de Mogoda","Charter",69,75
"742","08028497","Escola Santa Perpètua","Santa Perpètua de Mogoda","Public",26,25
"915","08034461","Escola Bernat de Mogoda","Santa Perpètua de Mogoda","Public",29,50
"1269","08061181","Escola Santiga","Santa Perpètua de Mogoda","Public",24,25
"1320","08064131","Escola Els Aigüerols","Santa Perpètua de Mogoda","Public",27,25
"743","08028515","Escola Santa Susanna","Santa Susanna","Public",25,25
"1290","08062821","Escola Montagut","Santa Susanna","Public",40,50
"626","08025058","Escola Riu d'Or","Santpedor","Public",32,50
"627","08025061","Llissach","Santpedor","Charter",11,25
"1348","08066334","Escola La Serreta","Santpedor","Public",33,25
"1847","43003069","Escola Salvador Ninot","Sarral","Public",12,25
"1565","17003756","Escola Montserrat","Sarrià de Ter","Public",47,75
"1566","17003768","Escola Els Terraprims","Saus, Camallera i Llampaies","Public",9,9
"764","08028990","Escola Can Sorts","Sentmenat","Public",77,75
"765","08029003","Nuestra Señora del Pilar","Sentmenat","Charter",15,25
"1568","17003801","Escola Bora Gran","Serinyà","Public",8,8
"1732","25004218","Escola Miquel Baró Daban","Seròs","Public",14,25
"767","08029027","Escola Farigola","Seva","Public",12,25
"1082","08041714","Escola Les Basseroles","Seva","Public",13,15
"1569","17003823","Escola Verdaguer","Sils","Public",33,50
"1646","17009199","Escola Els Estanys","Sils","Public",19,25
"768","08029076","Escola Pia de Sitges","Sitges","Charter",39,50
"769","08029088","Escola Miquel Utrillo","Sitges","Public",83,50
"919","08034667","Escola Esteve Barrachina","Sitges","Public",38,50
"1189","08053583","Escola Maria Ossó","Sitges","Public",48,50
"1291","08062833","Escola Agnès de Sitges","Sitges","Public",14,25
"1733","25004243","Escola Setelsis","Solsona","Public",40,50
"1734","25004279","Arrels I","Solsona","Charter",29,50
"1777","25009101","Escola El Vinyet","Solsona","Public",27,25
"1753","25005144","Escola Àngel Serafí i Casanovas","Sort","Public",21,25
"1735","25004395","Escola Jaume Miret","Soses","Public",22,25
"770","08029209","Escola Mare de Déu de Montserrat","Súria","Public",11,25
"771","08029222","Escola Francesc Macià","Súria","Public",17,25
"772","08029258","FEDAC-Súria","Súria","Charter",22,25
"773","08029301","Escola Les Pinediques","Taradell","Public",35,50
"774","08029313","Sant Genís-Santa Agnès","Taradell","Charter",24,25
"1851","43003136","Escola Bonavista","Tarragona","Public",32,44
"1852","43003151","Joan XXIII","Tarragona","Charter",80,75
"1854","43003227","Escola Sant Salvador","Tarragona","Public",33,44
"1855","43003306","Escola Serrallo","Tarragona","Public",28,25
"1856","43003321","Escola Sant Pere i Sant Pau","Tarragona","Public",21,25
"1857","43003410","Joan Roig","Tarragona","Charter",16,25
"1858","43003461","Tic-Tac","Tarragona","Charter",14,25
"1859","43003483","Lestonnac-l'Ensenyança","Tarragona","Charter",38,50
"1860","43003495","Mare de Déu del Carme","Tarragona","Charter",74,75
"1861","43003501","El Carme","Tarragona","Charter",28,50
"1862","43003525","Sant Domènec de Guzman","Tarragona","Charter",26,50
"1863","43003537","La Salle","Tarragona","Charter",70,75
"1864","43003549","Vedruna Sagrat Cor","Tarragona","Charter",51,50
"1865","43003550","Santa Teresa de Jesús","Tarragona","Charter",46,50
"1866","43003586","Sant Pau Apòstol","Tarragona","Charter",63,75
"1867","43003690","Escola de Pràctiques","Tarragona","Public",39,50
"1868","43003707","Mare Nostrum","Tarragona","Charter",26,25
"1869","43003720","Escola El Miracle","Tarragona","Public",26,25
"1870","43003756","Escola Torreforta","Tarragona","Public",29,44
"1871","43003768","Escola Els Àngels","Tarragona","Public",70,50
"1872","43003793","La Salle Torreforta","Tarragona","Charter",43,50
"1912","43005169","Escola Pau Delclòs","Tarragona","Public",48,50
"1913","43005170","Escola La Floresta","Tarragona","Public",11,25
"1929","43005686","Escola Riu Clar","Tarragona","Public",12,22
"1935","43005911","Escola Campclar","Tarragona","Public",23,22
"1938","43005959","Escola Cèsar August","Tarragona","Public",62,50
"1951","43006563","Escola Marcel·lí Domingo","Tarragona","Public",38,50
"1958","43007117","Escola Pax","Tarragona","Public",49,50
"1966","43009230","Escola Tarragona","Tarragona","Public",46,50
"1968","43009369","Escola Saavedra","Tarragona","Public",21,25
"1977","43010396","Escola de Ponent","Tarragona","Public",20,25
"1988","43010876","Escola l'Arrabassada","Tarragona","Public",56,50
"2000","43012976","Institut Escola Mediterrani","Tarragona","Public",13,22
"1736","25004462","Escola Jacint Verdaguer","Tàrrega","Public",65,50
"1737","25004474","Escola Pia de Tàrrega","Tàrrega","Charter",32,25
"1738","25004486","Vedruna Tàrrega","Tàrrega","Charter",36,50
"1739","25004531","Escola Àngel Guimerà","Tàrrega","Public",36,50
"1772","25008790","Escola Maria-Mercè Marçal","Tàrrega","Public",42,48
"809","08030364","Escola El Cim","Teià","Public",29,50
"1740","25004565","Escola Alfred Potrony","Térmens","Public",9,10
"775","08029350","Escola França","Terrassa","Public",34,50
"776","08029374","Escola Bisbat d'Egara","Terrassa","Public",77,75
"777","08029386","Escola Ramón y Cajal","Terrassa","Public",53,50
"778","08029507","Escola Isaac Peral","Terrassa","Public",23,25
"779","08029556","Delta","Terrassa","Charter",22,25
"780","08029581","Sant Josep","Terrassa","Charter",25,25
"781","08029601","Airina","Terrassa","Charter",34,50
"782","08029611","Joaquina de Vedruna","Terrassa","Charter",46,50
"783","08029647","Escola Pia de Terrassa","Terrassa","Charter",80,100
"784","08029660","El Cim","Terrassa","Charter",50,50
"785","08029672","Mare de Déu del Carme","Terrassa","Charter",78,75
"786","08029684","Tecnos","Terrassa","Charter",50,50
"787","08029738","Goya","Terrassa","Charter",31,25
"788","08029751","Martí","Terrassa","Charter",21,25
"789","08029763","Sant Domènec Savio","Terrassa","Charter",31,25
"790","08029775","Maria Auxiliadora","Terrassa","Charter",39,50
"791","08029805","Santa Teresa de Jesús","Terrassa","Charter",23,25
"792","08029881","Sagrado Corazón de Jesús","Terrassa","Charter",78,75
"793","08029908","Andersen","Terrassa","Charter",26,25
"794","08029921","Lumen","Terrassa","Charter",23,25
"795","08030005","L'Avet","Terrassa","Charter",19,25
"796","08030017","Cultura Pràctica","Terrassa","Charter",15,50
"797","08030054","Petit Estel - La Nova","Terrassa","Charter",77,75
"798","08030078","Egara","Terrassa","Charter",75,75
"799","08030091","Ramon Pont","Terrassa","Charter",27,25
"800","08030111","Vedruna","Terrassa","Charter",50,50
"801","08030194","Escola Pere Viver i Aymerich","Terrassa","Public",32,50
"802","08030200","Escola Marià Galí Guix","Terrassa","Public",23,22
"803","08030212","Escola Josep Ventalló i Vintró","Terrassa","Public",20,22
"804","08030224","Escola Antoni Ubach i Soler","Terrassa","Public",40,44
"805","08030248","Escola Pau Vila i Dinarès","Terrassa","Public",42,44
"806","08030285","Escola President Salvans","Terrassa","Public",23,22
"807","08030297","Escola Salvador Vinyals i Galí","Terrassa","Public",24,22
"808","08030315","Escola Joan XXIII","Terrassa","Public",47,50
"916","08034485","Escola Joan Marquès i Casals","Terrassa","Public",31,50
"1010","08038314","Escola Mare de Déu de Montserrat","Terrassa","Public",26,22
"1011","08038326","Escola El Vallès","Terrassa","Public",28,22
"1042","08039653","Escola Agustí Bartra","Terrassa","Public",40,44
"1043","08039665","Escola Lanaspa-Giralt","Terrassa","Public",26,25
"1069","08041246","Escola Francesc Aldea i Pérez","Terrassa","Public",15,25
"1115","08043437","Escola Font de l'Alba","Terrassa","Public",21,25
"1152","08044648","Escola La Roda","Terrassa","Public",59,50
"1167","08051306","Escola Abat Marcet","Terrassa","Public",35,50
"1168","08051318","Escola Sant Llorenç del Munt","Terrassa","Public",42,44
"1221","08058465","Escola Enxaneta","Terrassa","Public",78,75
"1277","08061774","Escola Les Arenes","Terrassa","Public",46,50
"1283","08062687","Escola Ponent","Terrassa","Public",61,50
"1321","08064143","Escola La Nova Electra","Terrassa","Public",56,50
"1345","08065512","Escola Serra de l'Obac","Terrassa","Public",50,50
"1346","08066048","Escola Roser Capdevila","Terrassa","Public",57,50
"1364","08067235","Escola Roc Alabern","Terrassa","Public",50,50
"1365","08067247","Escola El Vapor","Terrassa","Public",45,50
"1381","08070040","Escola Sala i Badrinas","Terrassa","Public",53,50
"810","08030388","Escola Lola Anglada","Tiana","Public",38,50
"1385","08070799","Escola Tiziana","Tiana","Public",30,25
"1873","43003847","Escola Marcel·lí Domingo","Tivissa","Public",13,25
"811","08030421","Escola L'Era de Dalt","Tona","Public",40,50
"812","08030431","Vedruna-Tona","Tona","Charter",37,50
"1741","25004607","Escola Sant Gil","Torà","Public",11,14
"813","08030467","Escola Ignasi Iglesias","Tordera","Public",23,50
"814","08030479","Brianxa","Tordera","Charter",28,25
"815","08030509","Vedruna Tordera","Tordera","Charter",31,25
"1224","08059093","Escola d'Hortsavinyà","Tordera","Public",3,3
"1292","08062869","Escola Serra de Miralles","Tordera","Public",28,25
"1324","08064222","Escola La Roureda","Tordera","Public",34,50
"816","08030510","Escola Doctor Fortià i Solà","Torelló","Public",36,50
"817","08030522","Escola Vall del Ges","Torelló","Public",17,25
"818","08030534","Rocaprevera","Torelló","Charter",14,25
"819","08030546","Sagrats Cors","Torelló","Charter",16,25
"1406","08075256","Institut Escola Marta Mata","Torelló","Public",46,50
"1874","43003884","Escola Antoni Roig","Torredembarra","Public",43,50
"1954","43006851","Escola Molí de Vent","Torredembarra","Public",56,50
"1967","43009242","Escola L'Antina","Torredembarra","Public",54,50
"1742","25004711","Escola la Creu","Torrefarrera","Public",44,50
"1743","25004723","Escola La Bassa","Torregrossa","Public",30,50
"822","08030613","Escola J.J. Ràfols","Torrelavit","Public",14,14
"823","08030637","Escola Guerau de Peguera","Torrelles de Foix","Public",13,25
"824","08030649","Escola Sant Martí","Torrelles de Llobregat","Public",28,25
"1275","08061622","Escola Can Coll","Torrelles de Llobregat","Public",18,25
"1744","25004747","Escola Carrassumada","Torres de Segre","Public",18,25
"1570","17003860","Escola Portitxol","Torroella de Montgrí","Public",25,25
"1571","17003872","Escola Guillem de Montgrí","Torroella de Montgrí","Public",48,50
"1572","17003896","Sant Gabriel","Torroella de Montgrí","Charter",30,50
"1881","43004232","Escola La Mercè","Tortosa","Public",14,22
"1882","43004244","Escola El Temple","Tortosa","Public",52,50
"1883","43004256","Escola Ferreries","Tortosa","Public",40,50
"1884","43004268","Escola Remolins","Tortosa","Public",15,22
"1885","43004311","Nuestra Señora de la Consolación","Tortosa","Charter",19,25
"1886","43004372","Teresià","Tortosa","Charter",34,25
"1887","43004402","Sagrada Família","Tortosa","Charter",35,50
"1960","43008389","Escola Sant Llatzer","Tortosa","Public",26,25
"1963","43008912","Escola Cinta Curto","Tortosa","Public",19,25
"1998","43012307","Institut Escola Daniel Mangrané","Tortosa","Public",41,50
"1573","17003926","Escola Ignasi Melé i Farré","Tossa de Mar","Public",38,50
"1745","25004772","Escola Valldeflors","Tremp","Public",32,50
"1746","25004802","María Inmaculada","Tremp","Charter",22,25
"825","08030662","Escola Serralavella","Ullastrell","Public",25,25
"1888","43004463","Escola Ramón y Cajal","Ulldecona","Public",46,50
"826","08030686","Escola Pau Casals","Vacarisses","Public",34,50
"1270","08061191","Escola Font de l'Orpina","Vacarisses","Public",33,25
"1630","17008493","Escola Vall-llobrega","Vall-llobrega","Public",12,12
"827","08030698","Escola Josep Masclans","Vallbona d'Anoia","Public",10,25
"1747","25004851","Escola Salvador Espriu","Vallfogona de Balaguer","Public",9,13
"1197","08054411","Escola Vallgorguina","Vallgorguina","Public",14,25
"828","08030777","Verge del Roser","Vallirana","Charter",24,25
"829","08030789","Escola Pompeu Fabra","Vallirana","Public",17,25
"1188","08053522","Escola La Ginesta","Vallirana","Public",17,25
"1249","08060851","Escola L'Olivera","Vallirana","Public",40,50
"1334","08064881","Escola Campderrós","Vallirana","Public",26,25
"1889","43004505","Escola Mare de Déu del Roser","Vallmoll","Public",11,25
"830","08030807","Escola Els Tres Pins","Vallromanes","Public",21,25
"1890","43004529","Escola Mare de Déu de la Candela","Valls","Public",21,25
"1891","43004530","Escola Baltasar Segú","Valls","Public",14,22
"1892","43004554","Cor de Maria","Valls","Charter",39,50
"1893","43004581","Claret","Valls","Charter",48,50
"1894","43004591","Mare de Déu del Lledó","Valls","Charter",27,25
"1895","43004633","Escola Eugeni d'Ors","Valls","Public",39,50
"1952","43006575","Escola Eladi Homs","Valls","Public",17,24
"1955","43006861","Escola Enxaneta","Valls","Public",23,25
"1896","43004657","Escola Mestral","Vandellòs i l'Hospitalet de l'Infant","Public",68,75
"1897","43004700","Escola Valdelors","Vandellòs i l'Hospitalet de l'Infant","Public",3,8
"1651","17009795","Institut Escola Francesc Cambó i Batlle","Verges","Public",29,50
"831","08030819","Escola Sentfores","Vic","Public",18,25
"832","08030881","Santa Caterina de Siena","Vic","Charter",19,25
"833","08030911","Sagrat Cor de Jesús","Vic","Charter",35,50
"834","08030947","Escorial","Vic","Charter",93,75
"835","08030959","Sant Miquel dels Sants","Vic","Charter",67,75
"836","08030960","FEDAC-Vic","Vic","Charter",36,50
"837","08031009","Escola Doctor Joaquim Salarich","Vic","Public",51,50
"1211","08057096","Escola Guillem de Mont-rodon","Vic","Public",58,50
"1212","08057102","Escola Andersen","Vic","Public",64,50
"1355","08069499","Escola Vic-centre","Vic","Public",39,25
"1372","08067818","Escola La Sínia","Vic","Public",40,50
"1576","17004074","Escola Sant Iscle","Vidreres","Public",33,25
"1598","17004906","Escola Salvador Espriu","Vidreres","Public",22,50
"1748","25004929","Escola Garona","Vielha e Mijaran","Public",52,75
"1903","43004921","Escola Bernardí Tolrà","Vila-rodona","Public",14,25
"1906","43004979","Escola Torroja i Miret","Vila-seca","Public",51,50
"1907","43005005","Escola Sant Bernat Calvó","Vila-seca","Public",66,50
